Company,Cluster,Industry
240411293655-9B,32,Basic Materials
44$c8718EFB5357,7,Basic Materials
1e0Dfe8F11C57^4,32,Basic Materials
Ea48a9b74AE*a96,15,Basic Materials
1BF31f8825b3-4c,32,Basic Materials
96532122d263C6&,6,Basic Materials
42301F95E@880Ae,32,Basic Materials
!BACF469a15C7A7,2,Basic Materials
b5919ca*2193774,3,Basic Materials
bF$E4FBA3221A74,32,Basic Materials
4&46ebE3744fcC0,32,Basic Materials
1E8F6C1076^8cE8,12,Basic Materials
5#D8b95Bb964f54,32,Basic Materials
009831C525_1e66,3,Basic Materials
D84b33f91619@8e,18,Basic Materials
DDDdd974*ffd54c,32,Basic Materials
e87%fd2335B8cf4,25,Basic Materials
E785+80EA287de4,32,Basic Materials
@b5cf54aFE842A1,28,Basic Materials
1b0E2EB85A-1E52,6,Basic Materials
d9194B5B9+DCcd1,3,Basic Materials
26992742D6a%926,12,Basic Materials
1816Bb1e0c1@152,9,Basic Materials
679272171D05-7C,32,Basic Materials
0#478037fEb8D57,3,Basic Materials
Ffce35_405bd2fc,2,Basic Materials
fc4E22&05ab7CF6,32,Basic Materials
D4fa1c7D8e74%Cb,3,Basic Materials
f1$aDA47284AeE9,15,Basic Materials
567B^a47Bc23E68,32,Basic Materials
5315Ba25@6a5CfF,6,Basic Materials
e733E_87CE33C63,32,Basic Materials
aA#E16B48e14C52,32,Basic Materials
7337bbc^daed7b3,10,Basic Materials
9f7AEF59F_6b236,25,Basic Materials
d0911_1CC62f2b0,7,Basic Materials
E1843A96&37afd1,2,Basic Materials
09A!0Fc95893FDE,5,Basic Materials
E0F3cD2C=653aE0,15,Basic Materials
d04D!888254afD3,32,Basic Materials
7@b9BDbEcd970c6,9,Basic Materials
c9&39264F5b754e,10,Basic Materials
aDB8$46d0763e4B,3,Basic Materials
5ba67@b3f1D5501,2,Basic Materials
876b@Ca5D2cfeC8,32,Basic Materials
7#D702dbD2760B3,32,Basic Materials
BD+26c0762D881B,14,Basic Materials
